CODIGO;DESCRICAO;  CUSTO   
300150; LARANJA MONO EXTERNO 1505-C ; 27,33 
300152; VERDE EXTERNO SAL SUL(P335) ; 23,78 
300154; LARANJA MONO EXTERNO 157-C ; 18,28 
300156; LARANJA MONO EXTERNO NUTRELLA-C ; 23,54 
300157; LARANJA MONO EXTERNO 145-C ; 16,30 
300159; LARANJA MONO EXTERNO 163-C ; 22,21 
300160; LARANJA MONO EXTERNO 1635-C ; 19,45 
300161; LARANJA MONO EXTERNO 7619-C ; 25,75 
300162; LARANJA MONO EXTERNO 715-C ; 20,43 
300163; LARANJA MONO EXTERNO 714-C ; 15,08 
300164; LARANJA MONO EXTERNO 158-C ; 27,20 
300165; LARANJA MONO EXTERNO 1385-C ; 26,56 
300168; LILAS MONO EXTERNO NUTRELLA-C ; 19,94 
300169; LILAS MONO EXTERNO 2706-C ; 16,83 
300170; LILAS MONO EXTERNO 2587-C ; 24,28 
300171; LILAS MONO EXTERNO 270-C ; 17,36 
300172; LILAS MONO EXTERNO 2716-C ; 17,45 
300173; LILAS MONO EXTERNO 259-C ; 25,34 
300174; LILAS MONO EXTERNO 2405-C ; 21,79 
300175; LILAS MONO EXTERNO 2603-C ; 30,33 
300176; LILAS MONO EXTERNO 268-C ; 35,39 
300177; LILAS MONO EXTERNO 272-C ; 21,89 
300178; LILAS MONO EXTERNO 2577-C ; 28,47 
300179; LILAS MONO EXTERNO 2623-C ; 30,44 
300180; LILAS MONO EXTERNO  668-C ; 21,79 
300181; LILAS MONO EXTERNO 260-C ; 33,20 
300182; LILAS MONO EXTERNO 2665-C ; 27,05 
300183; MARROM MONO EXTERNO 483-C ; 22,78 
300184; MARROM MONO EXTERNO 724-C ; 21,84 
300185; MARROM MONO EXTERNO 4715-C ; 19,13 
300186; MARROM MONO EXTERNO 492-C ; 20,70 
300188; MARROM MONO EXTERNO LAMIL-C ; 17,58 
300191; MARROM MONO EXTENO 484-C ; 26,58 
300193; MARROM MONO EXTERNO 471-C ; 23,23 
300194; MARROM MONO EXTERNO 4695-C ; 21,68 
300196; MARROM MONO EXTERNO 730-C ; 21,50 
300197; MARROM MONO EXTERNO 1675-C ; 23,55 
300198; MARROM MONO EXTERNO 731-C ; 26,61 
300199; MARROM MONO EXTERNO 4725-C ; 18,97 
300200; MARROM MONO EXTERNO 477-C ; 23,73 
300201; MARROM MONO EXTERNO 4735-C ; 18,22 
300202; MARROM MONO EXTERNO 479-C ; 19,81 
300203; MARROM MONO EXTERNO 7517-C ; 29,95 
300204; MARROM MONO EXTERNO 723-C ; 25,07 
300205; MARROM MONO EXTERNO 1815-C ; 26,85 
300206; MARROM EXTERNO 4635-C ; 26,27 
300207; MARROM MONO EXTERNO 499-C ; 29,17 
300208; OCRE MONO EXTERNO 104-C ; 23,53 
300209; OCRE MONO EXTERNO 125-C ; 22,34 
300213; OCRE MONO EXTERNO 117-C ; 20,62 
300214; OCRE MONO EXTERNO 457-C ; 22,14 
300216; OCRE MONO EXTERNO 3975-C ; 23,90 
300217; OCRE MONO EXTERNO 729-C ; 19,52 
300218; OURO MONO EXTERNO NUTRELLA-C ; 15,25 
300219; OURO MONO EXTERNO 8941-C ; 15,49 
300222; OURO MONO EXTERNO 872-C ; 22,80 
300223; OURO MONO EXTERNO PENASUL-C ; 23,32 
300224; OURO MONO EXTERNO PUPPY-C ; 20,60 
300226; ROSA MONO EXTERNO 203-C ; 17,06 
300228; ROSA MONO EXTERNO 189-C ; 18,04 
300229; AMARELO LAM RESISTÊNCIA MIGRAÇÃO 135-C ; 20,71 
300230; ROSA MONO EXTERNO 190-C ; 19,39 
300231; ROSA MONO EXTERNO 673-C ; 17,00 
300232; ROSA MONO EXTERNO 507-C ; 17,39 
300233; ROSA MONO EXTERNO 671-C ; 16,72 
300234; ROSA MONO EXTERNO 219-C ; 29,57 
300235; ROSA MONO EXTERNO 204-C ; 17,18 
300236; ROSA MONO EXTERNO 1765-C ; 17,49 
300237; ROSA MONO EXTERNO 705-C ; 16,74 
300238; ROSA MONO EXTERNO 230-C ; 17,20 
300239; ROSA MONO EXTERNO 1915-C ; 19,87 
300240; ROSA MONO EXTERNO 214-C ; 20,04 
300241; ROSA MONO EXTERNO PIG-C ; 73,24 
300242; SALMON MONO EXTERNO 170-C ; 19,93 
300243; VERDE MONO EXTERNO 320-C ; 20,78 
300245; VERDE MONO EXTERNO CLARO FRADIE-C ; 21,31 
300246; VERDE MONO EXTERNO ESCURO FRADIE-C ; 19,52 
300251; VERDE MONO EXTERNO 366-C ; 18,46 
300252; VERDE EXTERNO ARROZ CAMIL (P376) ; 27,60 
300255; VERDE MONO EXTERNO 332-C ; 17,99 
300256; VERDE MONO EXTERNO 3262-C ; 19,76 
300257; VERDE MONO EXTERNO 342-C ; 24,14 
300258; VERDE MONO EXTERNO 3125-C ; 22,20 
300259; VERDE MONO EXTERNO 350-C ; 22,80 
300261; VERDE MONO EXTERNO 343-C ; 23,43 
300262; VERDE MONO EXTERNO 363-C ; 22,26 
300264; VERDE EXTERNO 3385-C ; 21,05 
300265; VERDE MONO EXTERNO 3245-C ; 18,36 
300266; VERDE MONO EXTERNO 3298-C ; 21,27 
300268; LARANJA LAM FORMAI GRATA(P1585) ; 32,54 
300272; VERDE MONO EXTERNO 3425-C ; 21,78 
300273; VERDE MONO EXTERNO 376-C ; 20,57 
300276; VERDE MONO EXTERNO 353-C ; 18,73 
300277; VERDE MONO EXTERNO 361-C ; 22,78 
300278; VERDE MONO EXTERNO SOJA LIGHT-C ; 20,44 
300279; VERDE MONO EXTERNO 397-C ; 21,50 
300280; VERDE MONO EXTERNO 360-C ; 20,68 
300281; VERDE MONO EXTERNO 331-C ; 17,76 
300282; VERDE MONO EXTERNO 565-C ; 17,73 
300283; VERDE MONO EXTERNO 3415-C ; 20,87 
300284; VERDE MONO EXTERNO 359-C ; 18,39 
300285; VERDE MONO EXTERNO 569-C ; 19,75 
300286; VERDE MONO EXTERNO 3145-C ; 22,00 
300287; VERDE MONO EXTERNO 384-C ; 22,21 
300288; VERDE MONO EXTERNO 388-C ; 20,66 
300289; VERDE MONO EXTERNO DEGRADE SANTA CLARA-C ; 20,88 
300290; VERDE MONO EXTERNO SANTA CLARA-C ; 22,30 
300291; VERDE MONO LAM 384-C ; 24,65 
300292; VERDE MONO EXTERNO 7479-C ; 20,62 
300293; VERDE MONO EXTERNO 3252-C ; 18,42 
300294; VERDE MONO EXTERNO DEGRADE PIRISA-C ; 20,81 
300295; VERDE MONO EXTERNO PIRISA-C ; 21,14 
300296; VIOLETA MONO EXTERNO 2617-C ; 29,71 
300297; VERMELHO MONO EXTERNO LIGHT NUTRELLA-C ; 24,97 
300301; VERMELHO MONO EXTERNO FIRENZE-C ; 28,04 
300302; VERMELHO MONO EXTERNO LANGUIRU-C ; 24,80 
300303; VERMELHO MONO EXTERNO SEVEN BOYS(P186) ; 26,16 
300306; VERMELHO MONO EXTERNO 179-C ; 27,02 
300308; VERMELHO MONO EXTERNO DAMBY-C ; 23,68 
300309; VERMELHO MONO EXTERNO 1935-C ; 22,93 
300312; VERMELHO MONO EXTERNO 202-C ; 24,78 
300314; VERMELHO MONO EXTERNO 187-C ; 27,11 
300315; VERMELHO MONO EXTERNO 193-C ; 23,79 
300316; VERMELHO EXTERNO NUTRELLA (P485) ; 32,78 
300318; VERMELHO MONO EXTERNO 194-C ; 22,99 
300319; VERMELHO EXTERNO 198-C ; 25,53 
300321; VERMELHO MONO EXTERNO 1925-C ; 21,42 
300322; VERMELHO MONO EXTERNO 188-C ; 26,32 
300323; VINHO MONO EXTERNO JULIANA-C ; 21,05 
300325; VINHO MONO EXTERNO 228-C ; 25,26 
300326; VINHO MONO EXTERNO 7435-C ; 20,73 
300330; AMARELO MONO EXTERNO TRES PATINHOS-C ; 21,99 
300334; AMARELO MONO EXTERNO 136-C ; 23,03 
300337; AMARELO MONO EXTERNO 129-C ; 18,49 
300338; AMARELO MONO EXTERNO 130-C ; 26,40 
300343; AZUL MONO LAM 289-C   29/7 ; 30,13 
300344; AZUL MONO EXTERNO MIL-C ; 31,32 
300346; AZUL MONO EXTERNO 2685-C ; 42,64 
300348; AZUL EXTERNO VENCEDOR(REFLEX BLUE) ; 28,09 
300349; AZUL MONO EXTERNO TZ-C ; 30,20 
300350; AZUL MONO EXTERNO PADIM-C ; 34,15 
300352; AZUL MONO EXTERNO PAPA-C ; 33,71 
300359; AZUL MONO LAM MINGOTE-C ; 27,47 
300360; AZUL MONO EXTERNO DO VALE-C ; 29,48 
300361; AZUL TIO OLIVO EXT (P281) ; 28,66 
300373; AZUL MONO EXTERNO 2727-C ; 21,68 
300377; BORDO MONO EXTERNO 195-C ; 22,49 
300378; CREME CR PANT. 121-C ; 2,08 
300379; CREME MONO EXTERNO CEREAL-C ; 15,56 
300380; CREME MONO EXTERNO NOVITA-C ; 23,01 
300381; CREME MONO EXTERNO HUGGIES (P7401) ; 14,57 
300382; CREME MONO EXTERNO 4545-C ; 15,02 
300383; LARANJA MONO EXTERNO 350-C ; 24,62 
300384; LARANJA MONO EXTERNO PANICCIA-C ; 21,42 
300385; LARANJA MONO EXTERNO PAMPASUL-C ; 22,38 
300389; LARANJA MONO EXTERNO BAPTISTELLA-C ; 25,44 
300394; LARANJA MONO EXTERNO COMACEL-C ; 22,28 
300395; LARANJA MONO EXTERNO ARROZ AVÔ-C ; 22,53 
300397; LARANJA MONO EXTERNO 148-C ; 14,76 
300400; LARANJA MONO EXTERNO 150-C ; 21,81 
300402; LILAS MONO EXTERNO 2573-C ; 23,64 
300403; LILAS MONO EXTERNO 2563-C ; 18,00 
300404; LILAS MONO EXTERNO 255-C ; 20,50 
300405; LILAS MONO EXTERNO PURPLE-C ; 42,13 
300407; LILAS MONO EXTERNO 522-C ; 17,70 
300408; LILAS MONO EXTERNO 2562-C ; 16,95 
300409; LILAS MONO EXTERNO 2645-C ; 17,88 
300411; LILAS MONO EXTERNO 2583-C ; 20,82 
